"TF","Target","pred_prob"
"SUMO1","KRTCAP2",0.0038390195
"EGR2","POLDIP3",0.0038358695
"NFKB1","EIF4A1",0.0038325437
"SUMO1","SSU72",0.0038306182
"EGR2","EIF5A",0.0038305195
"EGR1","LAT2",0.0038256214
"EGR1","CLEC7A",0.0038238007
"MAFF","ATP5L",0.0038120362
"EGR1","UQCRC1",0.0038110723
"EGR1","ANXA5",0.003807262
"EGR1","SKAP2",0.0037970664
"RELA","RPL32",0.003794072
"SUMO1","GMFG",0.0037936608
"SUMO1","SARNP",0.0037864987
"EGR1","PILRA",0.0037814335
"MAFF","GPX1",0.0037805408
"EGR1","LYZ1",0.0037795606
"MAFF","TBRG1",0.0037745559
"EGR1","TNF",0.0037720415
"SUMO1","CCNL1",0.0037689086
"MAFF","MAP1LC3B",0.0037659397
"SUMO1","THRAP3",0.003765929
"EGR1","TMED2",0.0037659204
"EGR1","CD164",0.0037654804
"EGR1","AURKAIP1",0.0037605215
"HIF1A","TNIP3",0.0037600284
"EGR1","SEC61G",0.003759987
"MAFF","HDGF",0.0037515603
"SUMO1","CBFA2T3",0.0037511205
"MAFF","CREB3",0.0037510528
"MAFF","RPS20",0.003746508
"EGR1","SSR3",0.0037448637
"EGR1","CD36",0.003743101
"MAFF","TCF7L2",0.0037373886
"EGR1","VAMP8",0.0037368452
"MAFF","CTSS",0.0037342634
"RELA","RPS28",0.0037297811
"EGR1","VPS25",0.0037285127
"MAFF","STAT1",0.0037250975
"RUNX1","IL2RG",0.0037188083
"MAFF","EEF1A1",0.003709291
"EGR1","LIPA",0.0037082094
"IRF4","AURKAIP1",0.0037066385
"MAFF","NONO",0.0037042054
"ATF3","ATP5B",0.0037010799
"MAFF","PSMA5",0.0037006051
"SUMO1","EIF3I",0.0036995327
"AHR","LITAF",0.0036973278
"EGR1","NDUFA9",0.003693811
"ATF3","SNRPE",0.0036749595
"MAFF","IMPACT",0.0036740971
"EGR1","PPIA",0.0036739972
"NFKB1","TLR2",0.003668662
"ATF3","BHLHE40",0.0036646607
"EGR1","CDC42",0.0036618535
"ATF3","ENO1",0.0036560649
"IRF4","GPX4",0.0036533647
"EGR1","SIRT2",0.0036508227
"EGR1","PRDX1",0.0036501188
"EGR1","SAT1",0.0036391963
"ATF3","RPL8",0.003627499
"MAFF","TBCB",0.0036273026
"RELA","NDUFA12",0.0036250888
"RUNX1","DAP",0.0036166266
"SUMO1","RNH1",0.0036113774
"ATF3","JUN",0.0036111993
"EGR1","NCF4",0.0036056223
"EGR2","NFKBIZ",0.0036025534
"SUMO1","DNMT1",0.0035993457
"SUMO1","ETS2",0.0035989985
"SUMO1","DAP",0.0035979315
"RELA","RPL36",0.0035973932
"HIF1A","EIF5A",0.0035967252
"EGR1","MYL6",0.0035948062
"ATF3","ILF3",0.0035893088
"RELA","RPS11",0.0035850059
"NFKB1","POMP",0.0035833386
"SUMO1","CHD1",0.0035745234
"EGR1","NDUFA12",0.0035735965
"EGR1","RPS12",0.0035696682
"EGR2","TUBA1B",0.003562529
"NFKB1","CTSZ",0.0035603363
"SUMO2","CCL17",0.0035563007
"EGR1","NDUFV2",0.0035550317
"IRF2","UBC",0.0035549423
"EGR1","UQCR10",0.0035514473
"ETS2","UBC",0.00354664
"MAFF","ACTR3",0.0035437949
"IRF2","TALDO1",0.0035430337
"SUMO1","TMSB4X",0.0035413774
"EGR1","TANK",0.0035406859
"SUMO1","RBM7",0.003538752
"EGR1","H2-T23",0.0035281007
"SUMO1","VPS28",0.0035275025
"EGR1","SIRPA",0.0035224042
"MAFF","UBE2L6",0.0035212894
"MAFF","ARPC4",0.003520383
"MAFF","MYL12B",0.0035196717
"MAFF","DNAJC8",0.0035175786
"EGR1","RHOA",0.0035133094
"EGR1","TREM2",0.0035110312
"NFKB1","TMBIM4",0.0035092998
"AHR","IL1B",0.0035038015
"IRF4","ZNRD1",0.0035036348
"ETS2","POLDIP3",0.0035033838
"RUNX1","EIF5A",0.0034964853
"RELA","ATP5D",0.003490826
"EGR2","RPS17",0.0034854494
"SUMO1","AI413582",0.003480527
"RELA","NDUFAB1",0.0034729077
"EGR1","CLEC4A3",0.0034707582
"NFKB1","NME1",0.003467672
"MAFF","HBP1",0.0034651484
"EGR1","ATP6AP2",0.0034559662
"EGR2","CFP",0.0034532624
"MAFF","RHOA",0.0034491543
"RUNX1","RPL24",0.003446651
"SUMO1","ATP5D",0.0034444928
"HIF1A","RPS19",0.0034417883
"SUMO1","ZYX",0.0034405014
"MAFF","NR4A1",0.0034292832
"AHR","TAGLN2",0.0034292408
"SUMO1","HMGN2",0.0034271504
"MAFF","CALM1",0.0034255644
"EGR1","PTS",0.0034202505
"MAFF","CNOT6",0.0034195192
"MAFF","ATPIF1",0.003418874
"SUMO1","SRP19",0.0034073116
"SUMO1","USF2",0.0034037316
"RUNX1","POLDIP3",0.003403638
"HIF1A","RPL35",0.0033984499
"EGR1","UQCRH",0.0033958666
"SUMO1","AURKAIP1",0.0033918815
"EGR1","SNX3",0.0033906566
"EGR1","NAMPT",0.003384502
"SUMO1","TRA2B",0.0033833473
"RELA","NDUFA6",0.003371441
"HIF1A","RPS26",0.0033712087
"EGR1","MRPL20",0.003369226
"EGR1","IER3",0.0033651234
"MAFF","TRAPPC2L",0.0033597494
"EGR1","SIRPB1B",0.0033576807
"ATF3","RUVBL2",0.003350323
"EGR1","CTSL",0.00334708
"ATF3","MRC1",0.0033457314
"EGR1","TRF",0.0033456804
"EGR2","AEBP2",0.0033440252
"SUMO1","GTF2B",0.0033420713
"EGR1","TNFAIP2",0.003338436
"MAFF","BST2",0.0033363393
"SUMO1","TOB1",0.0033354498
"RUNX1","LSP1",0.0033341076
"MAFF","ATP6V0C",0.003333271
"MAFF","MED1",0.0033328119
"AHR","RPL38",0.0033258703
"MAFF","LMO4",0.0033244702
"MAFF","SEPT2",0.0033192083
"IRF2","MRFAP1",0.003315048
"EGR1","CASP1",0.0033144134
"MAFF","IRF1",0.0033082536
"AHR","MORF4L1",0.003302278
"IRF4","NDUFS8",0.0033006698
"ATF3","CETN3",0.003298134
"EGR1","ABCG1",0.0032950363
"EGR1","RPS27",0.0032903699
"EGR1","CSDE1",0.0032900774
"EGR1","TOMM5",0.0032887438
"SUMO1","MRPL23",0.003284603
"RELA","RPS14",0.003280955
"EGR1","GRN",0.003279016
"EGR1","PTPN2",0.0032788755
"ATF3","TNFAIP3",0.003274859
"MAFF","ATF4",0.0032712347
"SUMO1","POLR2I",0.0032712095
"SUMO2","CXCL2",0.0032643215
"JUNB","CFP",0.003261287
"EGR1","NDUFA6",0.0032492403
"AHR","EIF3K",0.0032419038
"SUMO1","PSMA1",0.0032412477
"IRF4","RPL11",0.0032370123
"MAFF","TMSB4X",0.0032329932
"IRF4","RPL9",0.0032257868
"SUMO1","STAT6",0.003225442
"RUNX1","TES",0.0032220508
"MAFF","ATF3",0.0032158957
"EGR1","SERPINB6A",0.0032126661
"EGR1","IFITM2",0.0032002847
"EGR1","NDUFB7",0.0031966968
"MAFF","CACYBP",0.003193494
"EGR1","HAX1",0.0031892662
"ATF3","RPS28",0.003183258
"EGR1","EDF1",0.003183146
"HIF1A","UBTF",0.003180551
"ATF3","RPL10A",0.0031723722
"RELA","NDUFB7",0.0031698851
"HIF1A","BHLHE40",0.0031679254
"EGR1","TBXAS1",0.0031515593
"SUMO1","P4HB",0.0031508657
"MAFF","PSMA4",0.003150196
"EGR1","TYROBP",0.0031485688
"JUNB","MRC1",0.0031473627
"EGR1","CD84",0.003147192
"RELA","NDUFB10",0.0031466149
"AHR","ENO1",0.0031455366
"ETS2","CCT3",0.0031397527
"SUMO1","JUP",0.0031350385
"MAFF","CCT5",0.0031328069
"IRF4","RPL26",0.0031307896
"EGR2","CLK1",0.0031199255
"MAFF","HAX1",0.0031185125
"SUMO1","WBP11",0.0031182338
"AHR","MALT1",0.0031157562
"EGR2","RPS7",0.0031140621
"SUMO1","MRPL33",0.0031035068
"SUMO1","DNMT3A",0.0031022027
"EGR2","CXCL2",0.0030993596
"AHR","TMBIM4",0.0030969428
"EGR1","SDHD",0.0030921516
"AHR","LEPROT",0.0030889665
"AHR","RPL37",0.0030879725
"EGR1","NDUFAB1",0.0030860738
"SUMO1","TGIF1",0.0030849604
"HIF1A","MORF4L1",0.003084786
"ETS2","HDGF",0.003081916
"AHR","RPS15",0.00307826
"SUMO1","NDUFA6",0.0030730988
"EGR2","PAIP2",0.0030721757
"EGR2","RPS8",0.0030705784
"AHR","RPL11",0.0030688185
"EGR2","SEC61B",0.003065149
"ETS2","CFP",0.0030636177
"MAFF","RNASEK",0.0030545234
"MAFF","NAMPT",0.0030497625
"MAFF","COPS5",0.0030497028
"MAFF","IFITM3",0.0030477014
"IRF4","UQCRC1",0.0030422474
"EGR1","TLR2",0.0030349065
"AHR","RPL26",0.0030321318
"MAFF","NFIL3",0.0030293756
"EGR1","CD83",0.0030290962
"MAFF","TYROBP",0.0030282438
"SUMO1","ATF3",0.0030264664
"NFKB1","PILRA",0.0030223744
"SUMO1","UBTF",0.003006995
"EGR2","RPL27",0.0030053502
"EGR1","TLR4",0.0029998843
"HIF1A","PAIP2",0.002999133
"MAFF","RPS27A",0.0029988266
"ATF3","DDX5",0.002994255
"NFKB1","NDUFB3",0.0029881145
"EGR1","IL2RG",0.002988014
"MAFF","KDM5A",0.0029856067
"RUNX1","RASGEF1B",0.0029841748
"EGR1","CCL6",0.0029764967
"MAFF","PRR13",0.002974734
"NFKB1","MRPL30",0.002969647
"MAFF","PPIB",0.0029623287
"ATF3","CCL4",0.0029607518
"MAFF","TAPBP",0.0029605366
"SUMO1","DAB2",0.0029562127
"AHR","RPL5",0.0029523238
"EGR1","P2RY14",0.0029500565
"SUMO1","COMMD4",0.002948804
"NFKB1","ENO1",0.002947083
"EGR1","MRPL23",0.002944191
"SUMO1","SEPT2",0.0029440075
"SUMO1","IRF4",0.0029426422
"NFKB1","PPIA",0.0029387441
"EGR1","CD14",0.0029333686
"ATF3","RPL11",0.002932557
"EGR1","GYG",0.0029313748
"SUMO1","TRP53",0.002929441
"NFKB1","GABARAP",0.0029274805
"EGR2","HDGF",0.002923957
"IRF2","H2AFV",0.0029229717
"RUNX1","TCERG1",0.0029202048
"MAFF","FCGR3",0.0029107025
"MAFF","GTF2B",0.0029097132
"EGR1","GUSB",0.0029073914
"EGR1","NFKBIA",0.0029073418
"IRF2","ACTN1",0.0029040896
"EGR1","MRPL42",0.0029026403
"EGR1","RNF181",0.0029001653
"SUMO1","NDUFS8",0.0028992593
"EGR1","PLEK",0.0028975757
"NFKB1","NFKBIZ",0.002896102
"AHR","MORF4L2",0.0028944623
"SUMO1","TCF7L2",0.002892913
"ETS2","RPS8",0.0028913359
"EGR1","NDUFB10",0.002890532
"EGR1","ARL6IP5",0.0028892758
"SUMO1","PRDX5",0.0028887417
"MAFF","TMEM128",0.002887819
"RELA","NDUFC1",0.0028789802
"MAFF","PAIP2",0.0028757693
"MAFF","SNAPC5",0.0028743984
"MAFF","PER1",0.0028724377
"ATF3","RPL6",0.0028702687
"HIF1A","RPL32",0.002868941
"MAFF","TARDBP",0.0028683043
"EGR1","NDUFC1",0.0028665166
"EGR1","PLK2",0.0028655082
"EGR1","PLD3",0.0028627843
"EGR1","PSMB10",0.0028606972
"EGR1","TMSB4X",0.0028606905
"AHR","RPL27",0.0028594066
"EGR1","NAGA",0.0028579114
"EGR1","H3F3B",0.0028423718
"MAFF","ACOT7",0.0028405748
"SUMO1","PCNP",0.0028394014
"MAFF","SPCS1",0.0028385753
"HIF1A","RNF181",0.0028375834
"EGR1","FCGR3",0.0028375671
"AHR","MCM3",0.0028346758
"ATF3","ACTR3",0.0028330053
"EGR1","TIMM8B",0.002828792
"AHR","BATF3",0.002827243
"EGR1","MGST3",0.0028167602
"SUMO1","PRPF40A",0.0028155243
"EGR1","TMBIM6",0.0028147844
"EGR1","SLC15A3",0.0028124107
"SUMO1","PABPC1",0.0028105995
"HIF1A","CETN3",0.0028029722
"NFKB1","CKS2",0.0028027482
"ATF3","RPS27A",0.0028021073
"SUMO1","H3F3B",0.002795905
"EGR1","COX6A1",0.002795295
"MAFF","SERTAD2",0.0027943647
"EGR1","ATP6V0E",0.002790879
"ETS2","RPS7",0.0027896266
"SUMO1","SMARCB1",0.0027854685
"SUMO1","SIN3B",0.0027812014
"ETS2","RPS17",0.0027808284
"IRF4","RPS15",0.0027799201
"SUMO1","TRAM1",0.0027795092
"AHR","NFX1",0.0027756433
"HIF1A","EIF4A1",0.0027743697
"MAFF","PGK1",0.0027726342
"AHR","NME1",0.0027672958
"MAFF","SRSF3",0.002763473
"IRF4","RPS26",0.0027621684
"NFKB1","ZBTB8OS",0.0027605547
"HIF1A","RPL27",0.002760266
"EGR1","ITGAX",0.0027563088
"MAFF","RNPS1",0.002751279
"IRF4","RPS19",0.002746334
"MAFF","UQCRQ",0.00274032
"EGR1","SUB1",0.0027401962
"EGR1","SLFN2",0.0027390174
"ATF3","RPS15",0.0027298515
"HIF1A","RPL26",0.0027291283
"IRF4","RPL6",0.0027258561
"EGR1","MRPL27",0.0027220142
"MAFF","RPL10A",0.0027210577
"HIF1A","TCERG1",0.00271733
"AHR","IFRD1",0.002715095
"MAFF","CTNNB1",0.0027102833
"IRF4","NDUFAB1",0.0027068455
"EGR1","RPL41",0.0027061892
"EGR1","GOLT1B",0.0027059794
"SUMO1","TNF",0.002705035
"ETS2","TNFAIP3",0.0027045642
"AHR","RPL8",0.002698865
"SUMO1","NDUFA12",0.0026944855
"NFKB1","RPL38",0.002691892
"ATF3","RPL37A",0.00268619
"SUMO1","ATP6V1F",0.0026845823
"EGR1","CLEC4B1",0.0026806847
"MAFF","POLR2I",0.0026777645
"SUMO1","DDX5",0.0026699367
"SUMO1","EIF5B",0.0026691684
"SUMO1","NDUFB7",0.002666819
"ATF3","PAIP2",0.0026659374
"MAFF","ATP6V1D",0.002661782
"AHR","RASGEF1B",0.0026416893
"MAFF","HMGN2",0.0026408187
"EGR1","GLIPR1",0.002639321
"EGR1","SHISA5",0.0026380182
"AHR","RPL36",0.0026368003
"EGR2","IFRD1",0.0026350028
"ETS2","TNF",0.0026344978
"MAFF","ATP5O",0.0026342198
"IRF4","SMARCC2",0.0026296147
"ATF3","RPL23",0.0026284433
"RUNX1","SIRT2",0.002627938
"NFKB1","VPS28",0.0026201622
"IRF4","NDUFA12",0.0026200425
"EGR1","UQCRQ",0.002617914
"MAFF","SERPINB6A",0.0026155654
"MAFF","EDF1",0.002612357
"MAFF","CTSH",0.002608368
"MAFF","PRDX6",0.0025981094
"ATF3","SMARCC2",0.002590383
"AHR","RPS26",0.0025902474
"IRF4","RPL38",0.0025896193
"SUMO1","SSRP1",0.0025822558
"ATF3","JUNB",0.0025783964
"MAFF","SSU72",0.002577478
"HIF1A","RPL8",0.002576358
"MAFF","FCF1",0.0025749858
"JUNB","HNRNPC",0.0025726613
"MAFF","CISH",0.0025713744
"HIF1A","CCT3",0.0025685495
"EGR2","PPP2R5C",0.002567686
"JUNB","WDR1",0.002564087
"MAFF","ETS2",0.0025638505
"EGR1","ARL8B",0.002562986
"IRF4","ATP5D",0.0025623643
"RUNX1","BATF3",0.0025612826
"MAFF","THRAP3",0.0025576926
"AHR","CKS2",0.0025533838
"AHR","NDUFB3",0.0025512618
"HIF1A","CFP",0.002547229
"MAFF","EIF3I",0.0025431518
"EGR2","RPL11",0.0025421567
"SUMO1","PLK2",0.0025380708
"EGR1","H2-AB1",0.0025370389
"EGR1","MRPL33",0.0025357746
"ATF3","MCM3",0.0025331348
"AHR","TGIF1",0.0025321273
"SUMO1","PCBD2",0.0025275827
"MAFF","HSP90B1",0.0025241587
"MAFF","NDUFB3",0.0025239189
"ATF3","RPL38",0.00252311
"MAFF","POLR2G",0.0025224965
"IRF4","RPL37",0.0025222555
"AHR","RPS19",0.002520772
"ATF3","RPS19",0.0025177475
"MAFF","RPL5",0.0025175954
"ATF3","SERTAD2",0.0025141623
"NFKB1","IGSF6",0.0025112294
"RUNX1","GOLT1B",0.002505411
"ATF3","RPL36",0.0025013124
"EGR1","SLC39A1",0.0025010244
"HIF1A","RPS14",0.0024963443
"HIF1A","RPL5",0.0024936611
"EGR1","MMP12",0.0024926423
"MAFF","PDCD10",0.0024920308
"MAFF","SP100",0.0024914513
"MAFF","XBP1",0.0024899277
"SUMO1","KDM5A",0.0024896623
"SUMO1","TFDP1",0.0024880122
"SUMO1","ANXA5",0.002486951
"EGR1","SRSF3",0.0024858473
"IRF4","NDUFA6",0.0024842564
"SUMO1","FKBP2",0.0024790931
"IRF2","GRCC10",0.00247869
"AHR","CHMP5",0.0024762966
"SUMO1","GTF2A2",0.0024758242
"NFKB1","EIF1AX",0.0024733557
"MAFF","BIRC5",0.00247327
"HIF1A","DAP",0.0024729772
"ETS2","MT1",0.0024713203
"MAFF","NRAS",0.0024708502
"EGR1","MRPS16",0.0024690432
"RUNX1","MRPL14",0.0024682647
"MAFF","CANX",0.0024673576
"EGR1","ATOX1",0.0024653382
"HIF1A","MCM4",0.0024623757
"AHR","RPL35",0.0024553488
"NFKB1","MCM3",0.0024518569
"SUMO1","TMED3",0.0024517481
"ATF3","NDUFA13",0.0024495907
"SUMO1","NDUFAB1",0.0024475243
"EGR2","RPL26",0.0024468948
"ATF3","RPS26",0.0024423434
"AHR","RPS20",0.002441379
"ATF3","FOSB",0.002439377
"SUMO1","UQCRC1",0.0024379732
"RUNX1","BHLHE40",0.0024379338
"SUMO1","TUBA1C",0.0024373748
"EGR1","LY6E",0.0024365773
"NFKB1","RPL8",0.002435394
"EGR1","CCL3",0.0024331894
"MAFF","SIN3B",0.0024298308
"EGR2","CNOT2",0.0024278355
"EGR1","GBP6",0.0024266036
"IRF4","RPL35",0.0024256594
"SUMO1","GTF2F1",0.0024250606
"NFKB1","RPL26",0.002422507
"ATF3","RPL37",0.0024170405
"EGR1","ARF4",0.00241522
"EGR2","RPL5",0.00241292
"EGR1","CYBA",0.0024107802
"NFKB1","RPL37",0.002407805
"MAFF","HNRNPF",0.002403924
"MAFF","CD83",0.0024013836
"AHR","IER3",0.002392192
"SUMO1","PER1",0.0023912669
"EGR2","RUVBL2",0.00238801
"ATF3","TRP53",0.002383068
"MAFF","SLC25A5",0.002382269
"MAFF","COX17",0.0023821725
"SUMO1","IER3",0.0023814102
"EGR1","MRPL55",0.0023734085
"NFKB1","HNRNPAB",0.0023723126
"NFKB1","NFX1",0.002371982
"SUMO1","TOMM22",0.0023691154
"EGR1","CXCL2",0.002364868
"SUMO1","BATF3",0.0023642697
"SUMO1","EIF1",0.0023617428
"EGR2","RPL9",0.002361025
"HIF1A","NME1",0.0023570007
"NFKB1","RPL5",0.0023558517
"ATF3","RPL35",0.0023543022
"SUMO1","TBRG1",0.0023527842
"RUNX1","CCL6",0.0023526743
"AHR","ACTR3",0.0023458146
"ATF3","NME1",0.002345424
"EGR2","ENO1",0.0023409887
"IRF2","CIC",0.0023387456
"MAFF","ZFP36",0.0023383053
"SUMO1","MALT1",0.002338055
"EGR1","CD302",0.0023342662
"MAFF","RBM39",0.0023312354
"MAFF","NCF1",0.0023311202
"MAFF","CHD1",0.0023304615
"ETS2","H2AFV",0.0023295204
"NFKB1","LSP1",0.002329424
"EGR2","RPS15",0.0023289963
"AHR","EIF1AX",0.00232745
"JUNB","SDCBP",0.0023255686
"SUMO1","TNIP3",0.0023227115
"MAFF","SMARCB1",0.002321353
"EGR1","CLEC4E",0.0023209068
"NFKB1","RPL11",0.0023204065
"MAFF","RPS10",0.0023183224
"MAFF","TSG101",0.0023170256
"EGR1","CHMP5",0.0023160724
"SUMO1","MDM2",0.0023156747
"NFKB1","CSDE1",0.002312534
"AHR","IGSF6",0.0023125107
"MAFF","PLK2",0.002311918
"SUMO1","BZW1",0.002310549
"HIF1A","RNH1",0.0023084031
"SUMO1","SAT1",0.0023047263
"EGR2","TFEC",0.0023045924
"NFKB1","RPS15",0.0022980245
"EGR2","JUN",0.0022930084
"ETS2","EIF5A",0.0022924335
"EGR1","ATF4",0.0022848058
"EGR2","TPT1",0.0022840665
"SUMO1","NDUFC1",0.0022801408
"MAFF","LYZ2",0.002273268
"MAFF","MRPL54",0.0022696739
"ETS2","MORF4L1",0.0022662373
"MAFF","ANXA1",0.0022640217
"ATF3","RPS20",0.002260788
"EGR1","TREX1",0.0022605138
"AHR","RNPS1",0.002258234
"EGR1","DPY30",0.0022574873
"AHR","AEBP2",0.00225595
"EGR2","MAFF",0.0022554884
"EGR1","THRAP3",0.0022482204
"EGR1","SRSF5",0.0022466187
"EGR2","SNRPE",0.0022429822
"EGR1","MRPL54",0.0022417349
"MAFF","MRPL30",0.002240835
"SUMO1","GPX1",0.002237441
"NFKB1","TRIM28",0.0022372047
"ETS2","MRFAP1",0.002233117
"NFKB1","CIITA",0.00223268
"MAFF","ARL6IP1",0.0022323828
"ATF3","HNRNPF",0.0022321427
"SUMO1","NDUFB10",0.0022301194
"AHR","ZBTB8OS",0.0022279052
"SUMO1","TUBA1A",0.002219564
"IRF4","RPL32",0.0022178495
"MAFF","RPL26",0.0022167335
"MAFF","SARNP",0.0022033511
"ATF3","RNPS1",0.0022016428
"MAFF","ZYX",0.0021998126
"MAFF","RPL41",0.002196418
"SUMO1","BIRC5",0.002196188
"MAFF","TOB1",0.0021888346
"EGR1","FCER1G",0.002185753
"EGR2","BHLHE40",0.0021832502
"NFKB1","SUB1",0.0021799204
"EGR1","DPEP2",0.0021750426
"AHR","VPS28",0.00217479
"SUMO1","SH3BGRL3",0.0021730235
"EGR1","TMEM208",0.0021714857
"NFKB1","TGIF1",0.002171402
"ATF3","FTL1",0.002170779
"EGR1","IFITM3",0.0021662249
"EGR2","RPL38",0.0021630598
"MAFF","DPY30",0.0021579927
"MAFF","NDUFA13",0.0021528997
"MAFF","SQSTM1",0.0021522841
"IRF4","NDUFB10",0.0021522166
"MAFF","UCP2",0.002152109
"RUNX1","CTSZ",0.0021515847
"EGR1","STAT3",0.0021506534
"JUNB","P4HB",0.0021485423
"SUMO1","RUNX1",0.002147281
"EGR2","SP1",0.0021456175
"EGR2","CCT4",0.0021452499
"SUMO1","PARL",0.0021429495
"ATF3","ZNRD1",0.0021427618
"MAFF","RNF149",0.0021407674
"IRF2","CCT3",0.0021372724
"MAFF","HIST1H1C",0.002136452
"MAFF","CNDP2",0.0021352395
"SUMO1","PGK1",0.0021349916
"EGR1","CSF2RB",0.0021285263
"MAFF","REL",0.0021271666
"SUMO1","TBCB",0.0021264774
"ATF3","HBP1",0.0021161383
"MAFF","VAMP8",0.0021125204
"MAFF","SRSF5",0.0021110454
"NFKB1","ACTR3",0.0021101818
"SUMO1","SIRT2",0.002108598
"MAFF","LGALS3BP",0.002108067
"MAFF","SAMHD1",0.0021058416
"NFKB1","HMGB2",0.0021017622
"AHR","TRIM28",0.0021005953
"MAFF","ATP1B3",0.0020945398
"IRF4","PTMA",0.002094478
"AHR","PSMB3",0.002091979
"SUMO1","FOS",0.0020915242
"MAFF","SOD2",0.002087383
"ATF3","DYNLT1B",0.0020873663
"NFKB1","RPS26",0.0020860368
"EGR1","GTF2B",0.0020832652
"MAFF","TREX1",0.0020824466
"ATF3","RPL32",0.002081978
"NFKB1","CFDP1",0.0020799984
"EGR2","ATP6V1B2",0.0020781206
"AHR","RPL32",0.0020776016
"AHR","GTF2A2",0.0020768533
"MAFF","PSMB9",0.0020741166
"MAFF","PRDX2",0.0020727285
"MAFF","HMG20B",0.0020616022
"IRF4","RPS17",0.0020607067
"SUMO1","RNF181",0.0020606813
"MAFF","MEA1",0.00206039
"EGR1","CLEC4A2",0.0020591698
"SUMO1","UBC",0.0020572941
"EGR2","TNF",0.0020563048
"SUMO1","MRPS16",0.0020544552
"JUNB","CXCL2",0.0020491858
"IRF4","NDUFB7",0.002048124
"IRF4","RPL8",0.002044412
"SUMO1","ABCG1",0.002040908
"EGR1","EIF3I",0.0020354483
"MAFF","MTHFS",0.0020349226
"EGR1","AA467197",0.0020318986
"EGR1","KDM5A",0.0020301861
"AHR","MAPK1",0.0020294655
"AHR","LSP1",0.0020290771
"MAFF","RPS12",0.0020289351
"EGR1","TRA2B",0.002022621
"EGR2","RPS26",0.0020190598
"ATF3","RPS14",0.002018593
"JUNB","GRCC10",0.002017552
"MAFF","ANXA3",0.0020172603
"MAFF","PPP1CA",0.002014392
"ETS2","TNIP3",0.0020107909
"EGR1","TOB1",0.0020088484
"IRF4","NDUFC1",0.0020047429
"NFKB1","PLAUR",0.0020008122
"NFKB1","MORF4L1",0.0019989489
"HIF1A","IL2RG",0.0019978741
"MAFF","RPS17",0.0019962064
"SUMO1","HIST1H1C",0.0019954094
"EGR2","RPL8",0.001993127
"SUMO1","NONO",0.001990043
"HIF1A","TMBIM4",0.0019892438
"EGR2","POLD4",0.0019890876
"AHR","TES",0.0019879162
"MAFF","HERPUD1",0.0019858321
"SUMO1","LIPA",0.0019834558
"EGR1","CTNNB1",0.0019814416
"NFKB1","RPL36",0.0019782826
"AHR","CFDP1",0.0019777666
"SUMO1","COX6A1",0.0019762095
"SUMO1","CD36",0.0019746348
"ATF3","HNRNPAB",0.0019745117
"NFKB1","RNPS1",0.0019686823
"EGR1","RNASE6",0.0019662236
"EGR2","RPL37",0.001964813
"RUNX1","LITAF",0.0019644436
"MAFF","1810022K09RIK",0.0019641686
"EGR2","RPS19",0.001960173
"EGR1","F10",0.0019593262
"JUNB","BANF1",0.001957288
"HIF1A","EIF3K",0.0019558782
"MAFF","POLR2C",0.00195405
"EGR2","SMARCC2",0.0019537394
"HIF1A","TNFAIP2",0.0019516653
"EGR2","NFX1",0.001947591
"HIF1A","RPL10A",0.0019475345
"HIF1A","POLR2J",0.001946217
"EGR1","CTSC",0.001945518
"EGR1","NAPSA",0.0019453781
"ATF3","RPS10",0.0019430758
"MAFF","NDUFS7",0.0019427837
"EGR1","HSP90AB1",0.0019419627
"ATF3","RPL3",0.0019410887
"ATF3","SH3BGRL3",0.0019410804
"ETS2","BHLHE40",0.0019371103
"IRF4","RPS28",0.0019360192
"SUMO1","TNFAIP2",0.0019343926
"MAFF","RPS27",0.0019341487
"HIF1A","NFKBIZ",0.0019324004
"EGR1","MYD88",0.0019322165
"EGR1","CD74",0.0019294537
"SUMO1","LMO4",0.0019283557
"MAFF","JUP",0.0019249832
"SUMO1","ATP6V1D",0.001924942
"MAFF","LGALS9",0.0019243715
"MAFF","GSTM1",0.0019239535
"NFKB1","TUBA1B",0.0019235336
"HIF1A","ATP5G2",0.0019186513
"MAFF","STAT6",0.001916306
"ATF3","SP1",0.001915961
"SUMO1","PSMA2",0.0019153111
"SUMO1","JUN",0.0019136756
"MAFF","GLIPR1",0.0019134132
"MAFF","BUD31",0.001910386
"EGR1","BST2",0.001909716
"MAFF","TMEM50A",0.0019087283
"EGR2","MAPK1",0.0019083249
"EGR1","SLC25A5",0.0019063024
"EGR2","TCERG1",0.0019056902
"MAFF","RNF13",0.0019019914
"ATF3","NFIL3",0.0019011064
"AHR","RPL10A",0.0019006947
"MAFF","IFITM2",0.0018961753
"IRF4","RPS14",0.0018944192
"NFKB1","SNAPC5",0.0018935421
"EGR1","MRPL52",0.0018928852
"NFKB1","RPL35",0.0018879743
"EGR1","H2-K1",0.0018878434
"EGR2","DYNLT1B",0.0018850513
"EGR2","TRP53",0.001880745
"AHR","HMGB2",0.0018795425
"SUMO1","ACOT7",0.001878801
"MAFF","M6PR",0.001878406
"NFKB1","RPS19",0.0018782835
"AHR","RBBP4",0.0018768563
"MAFF","NAP1L4",0.0018730557
"RUNX1","EIF3K",0.0018718366
"NFKB1","SRSF3",0.0018716992
"EGR1","ZFP36",0.00186972
"HIF1A","NFX1",0.0018696239
"ATF3","RPL19",0.001869147
