	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DDX21	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
SIN3A	0.04344	0.04284	0.0504	0.16	0.06727	0.02906	0.05262	0.03894	0.06284	0.03735	0.1245	0.09922	0.1776	0.06386	0.03237	0.06782	0.1004	0.05623	0.1587	0.08731	0.05008	0.04637	0.06205	0.03386	0.036	0.04005	0.0373	0.06447	0.04457	0.05372	0.07323	0.02956	0.09021	0.04731	0.07386	0.1791	0.05314	0.02417	0.07247	0.05396	0.04375	0.05772	0.07774	0.06416	0.1024	0.05582	0.06137	0.06151	0.05724	0.138	0.02065	0.06702	0.04696	0.04506	0.03731	0.03592	0.06333	0.08204	0.05726	1	0.04089	0.0533	0.04057	0.05406	0.05567	0.07296	0.06858	0.04186	0.04423	0.0687	0.0278	0.03018	0.06876	0.1143	0.05475	0.1128	0.09521	0.0437	0.07098	0.05881	0.06169	0.04251	0.07834	0.06984	0.06178	0.05911	0.09255	0.03199	0.03032
SMAD2	0.04843	0.07625	0.06192	0.09687	0.05592	0.05966	0.0294	0.06929	0.05705	0.04979	0.08582	0.09085	0.1442	0.04807	0.06599	0.0549	0.05173	0.04952	0.0624	0.07358	0.06028	0.06262	0.07364	0.04895	0.05641	0.05678	0.07366	0.0506	0.04976	0.04694	0.08474	0.06307	0.07509	0.053	0.05913	0.1579	0.04783	0.05716	0.05324	0.04827	0.07395	0.04951	0.08481	0.05905	0.1359	0.06073	0.06605	0.04899	0.05358	0.08464	0.05061	0.08435	0.04567	0.04818	0.04554	0.05611	0.1143	0.1052	0.05121	0.07542	1	0.8425	0.05338	0.05938	0.04802	0.0511	0.08458	0.06422	0.05261	0.05862	0.0399	0.04518	0.06126	0.07212	0.04765	0.0802	0.1344	0.04936	0.06916	0.05687	0.05433	0.06762	0.05563	0.05632	0.07422	0.054	0.06935	0.06691	0.04226
SMAD3	0.03366	0.07801	0.05102	0.1112	0.07	0.06459	0.05301	0.07496	0.05584	0.05192	0.08027	0.05898	0.1619	0.04835	0.04446	0.04459	0.06433	0.06641	0.06234	0.06065	0.06673	0.04908	0.06297	0.05529	0.05212	0.05918	0.0786	0.04947	0.04932	0.05318	0.05848	0.05182	0.07419	0.07035	0.04913	0.1047	0.0499	0.06807	0.05448	0.06376	0.05187	0.06552	0.09496	0.06772	0.122	0.06346	0.04337	0.04291	0.05059	0.08411	0.05956	0.09008	0.06811	0.0705	0.04472	0.05087	0.1144	0.09885	0.04812	0.08789	0.8425	1	0.05552	0.06926	0.04663	0.07023	0.05941	0.06476	0.05737	0.0525	0.05755	0.04804	0.06401	0.0784	0.05645	0.07572	0.1342	0.0496	0.05144	0.0518	0.05055	0.07189	0.06255	0.04572	0.08367	0.0453	0.05674	0.05928	0.04741
SMARCA4	0.02551	0.06563	0.2727	0.1331	0.07517	0.2916	0.437	0.03611	0.04068	0.3012	0.08684	0.07711	0.1341	0.08866	0.03141	0.06287	0.05179	0.01618	0.1411	0.07024	0.03603	0.09609	0.07172	0.02683	0.02547	0.03266	0.02541	0.1417	0.1473	0.1863	0.1114	0.02533	0.09186	0.0236	0.06506	0.2642	0.07517	0.02261	0.08191	0.04284	0.04134	0.0621	0.1056	0.07296	0.1861	0.07591	0.09871	0.05676	0.05231	0.1007	0.03984	0.1328	0.04855	0.04546	0.03797	0.03632	0.06933	0.07691	0.03947	0.02603	0.04711	0.05042	1	0.4267	0.02986	0.06128	0.05997	0.07094	0.05299	0.05233	0.02752	0.02134	0.06389	0.1111	0.03114	0.09275	0.1332	0.02876	0.1046	0.0473	0.04735	0.05705	0.06114	0.0578	0.09761	0.08576	0.04404	0.03205	0.02596
SMARCAD1	0.03739	0.03465	0.4276	0.1233	0.06611	0.4098	0.4364	0.045	0.039	0.2971	0.1163	0.08807	0.1642	0.07537	0.04589	0.0459	0.06527	0.05012	0.1152	0.05829	0.04469	0.0921	0.07252	0.03462	0.03667	0.04172	0.04244	0.1871	0.1552	0.2036	0.08201	0.039	0.1359	0.02477	0.06428	0.1346	0.0574	0.03867	0.04016	0.05377	0.04217	0.06734	0.1073	0.06145	0.1092	0.06262	0.05646	0.06755	0.06446	0.09129	0.04388	0.07707	0.04699	0.07912	0.03737	0.06438	0.07377	0.08881	0.0442	0.06651	0.05049	0.0742	0.419	1	0.04318	0.07005	0.07667	0.04625	0.03852	0.05754	0.04189	0.04148	0.07851	0.1033	0.03714	0.0711	0.1106	0.04144	0.08794	0.05413	0.06293	0.03905	0.08256	0.07188	0.07066	0.07001	0.0758	0.03271	0.03909
SMARCC1	0.04141	0.04828	0.03035	0.1674	0.08374	0.03784	0.06563	0.04829	0.06405	0.04536	0.06643	0.08913	0.159	0.08127	0.0292	0.05734	0.08539	0.03639	0.3001	0.1096	0.06157	0.05249	0.05678	0.02991	0.03975	0.0499	0.02828	0.03918	0.045	0.05109	0.08714	0.03544	0.08252	0.0393	0.05767	0.1737	0.07167	0.04946	0.04754	0.04529	0.06255	0.06814	0.09637	0.07323	0.1519	0.1245	0.04756	0.0625	0.05824	0.06576	0.03907	0.1167	0.04636	0.07775	0.03367	0.04466	0.08881	0.1053	0.04256	0.04735	0.04371	0.04658	0.03746	0.03643	1	0.0709	0.08172	0.04704	0.05319	0.05772	0.03501	0.02411	0.08685	0.0847	0.05171	0.1169	0.07899	0.04848	0.07123	0.06882	0.06144	0.05352	0.07144	0.05091	0.08263	0.05678	0.06843	0.04908	0.037
SOX17	0.05632	0.0642	0.0636	0.1133	0.09197	0.08986	0.05465	0.05847	0.07056	0.07607	0.09518	0.08667	0.1289	0.06431	0.07431	0.06926	0.05012	0.077	0.1084	0.05357	0.07112	0.05973	0.0699	0.06313	0.05883	0.07216	0.05799	0.05963	0.05899	0.05154	0.06868	0.06498	0.0761	0.07191	0.08551	0.1427	0.06118	0.06275	0.05314	0.0803	0.08509	0.06548	0.0845	0.04773	0.1555	0.06004	0.05372	0.06176	0.04354	0.105	0.03965	0.08637	0.04853	0.0539	0.07409	0.06014	0.06374	0.09124	0.07176	0.08455	0.05958	0.04974	0.06518	0.07134	0.07886	1	0.273	0.06741	0.07781	0.08503	0.07426	0.0571	0.07568	0.1083	0.07978	0.07161	0.08693	0.07817	0.09984	0.05507	0.1051	0.05835	0.0568	0.05055	0.0761	0.07258	0.07007	0.06334	0.06939
SOX2	0.07032	0.06985	0.1074	0.07839	0.06831	0.103	0.04072	0.07599	0.08687	0.0792	0.05758	0.09678	0.1238	0.0816	0.07227	0.07717	0.07236	0.0951	0.1333	0.07913	0.07125	0.07245	0.08712	0.07145	0.07577	0.06525	0.07054	0.06568	0.06416	0.06813	0.1005	0.0716	0.08852	0.0845	0.09412	0.1005	0.06571	0.06883	0.05653	0.0701	0.07059	0.07304	0.09183	0.05507	0.1418	0.07625	0.06891	0.0625	0.05581	0.1276	0.05216	0.06604	0.07413	0.07678	0.05996	0.09606	0.06727	0.08304	0.09521	0.1019	0.0641	0.07163	0.07503	0.09144	0.07193	0.2536	1	0.08697	0.06141	0.08686	0.0843	0.07599	0.09211	0.1136	0.07103	0.09519	0.08902	0.08089	0.08229	0.09749	0.07205	0.05827	0.06665	0.06897	0.08539	0.06983	0.07767	0.08623	0.09971
SUZ12	0.07663	0.0505	0.07252	0.06087	0.06343	0.0277	0.05151	0.0362	0.04473	0.02865	0.09041	0.08549	0.1379	0.05158	0.03859	0.0603	0.07825	0.0495	0.1315	0.1048	0.05776	0.05018	0.04206	0.04087	0.0385	0.05402	0.06827	0.04622	0.04201	0.04427	0.065	0.06726	0.06675	0.0378	0.05857	0.1533	0.0469	0.04194	0.04181	0.04662	0.04713	0.05459	0.08463	0.06814	0.1819	0.06446	0.08135	0.05768	0.04382	0.07742	0.0564	0.07305	0.04557	0.07383	0.03821	0.06442	0.1389	0.08572	0.04444	0.05195	0.05301	0.04384	0.03375	0.0438	0.0532	0.05766	0.07302	1	0.05014	0.05098	0.0383	0.03435	0.06321	0.06316	0.06253	0.09355	0.09439	0.0436	0.09939	0.07119	0.05563	0.05715	0.0916	0.04754	0.08874	0.05521	0.06392	0.05129	0.04788
TBX3	0.04681	0.03858	0.03671	0.139	0.09017	0.0504	0.04435	0.04152	0.05568	0.04518	0.07299	0.07298	0.1684	0.05878	0.04469	0.06122	0.06478	0.04389	0.1252	0.07147	0.03573	0.04791	0.06105	0.04655	0.05283	0.04348	0.05346	0.0468	0.0615	0.05547	0.0871	0.04568	0.06357	0.03999	0.0536	0.1192	0.05473	0.03908	0.04844	0.05326	0.05531	0.066	0.09274	0.06253	0.07842	0.06617	0.04475	0.06193	0.06095	0.09685	0.02969	0.07681	0.04544	0.04378	0.03951	0.04057	0.1027	0.1032	0.0474	0.03983	0.04177	0.04873	0.05274	0.03502	0.03842	0.07455	0.06141	0.05373	1	0.04242	0.03918	0.04887	0.04649	0.08829	0.03597	0.07194	0.1272	0.05007	0.08789	0.04835	0.06368	0.04387	0.05356	0.09059	0.08542	0.05484	0.06582	0.04594	0.05943
TCF12	0.04525	0.03896	0.04362	0.1687	0.07423	0.05045	0.05151	0.0458	0.04504	0.04102	0.07662	0.08675	0.1876	0.09192	0.06959	0.05698	0.09903	0.06456	0.1615	0.05792	0.04853	0.04651	0.06007	0.05941	0.05133	0.04642	0.05763	0.04065	0.04271	0.0476	0.08943	0.05062	0.1078	0.0554	0.0901	0.2253	0.06556	0.07903	0.04343	0.03927	0.05965	0.1519	0.09943	0.05788	0.158	0.109	0.05914	0.04039	0.05168	0.1067	0.02891	0.0991	0.0475	0.04819	0.05323	0.04558	0.1195	0.09891	0.04527	0.04572	0.03979	0.04812	0.05183	0.05622	0.06156	0.08595	0.09974	0.03108	0.03907	1	0.06674	0.042	0.1193	0.1321	0.04666	0.1235	0.1458	0.04959	0.1087	0.05854	0.06267	0.05062	0.06514	0.05829	0.08153	0.152	0.05619	0.04485	0.05491
TET1	0.02519	0.02063	0.02069	0.1378	0.06313	0.0234	0.04055	0.0315	0.0589	0.04273	0.09034	0.08768	0.1133	0.06212	0.03615	0.04906	0.06215	0.028	0.1012	0.07484	0.04162	0.03404	0.06266	0.04365	0.03698	0.01863	0.03057	0.04572	0.06473	0.04274	0.08159	0.02803	0.09026	0.02247	0.05837	0.1001	0.05568	0.02213	0.04385	0.04751	0.03799	0.07954	0.09331	0.07452	0.1066	0.06685	0.0569	0.04711	0.06811	0.08638	0.01734	0.08592	0.05658	0.06267	0.03615	0.02139	0.08672	0.08759	0.03589	0.02982	0.04068	0.07206	0.02299	0.03522	0.03561	0.06258	0.08299	0.05188	0.04496	0.04944	1	0.2249	0.06205	0.1177	0.04558	0.08673	0.06659	0.05931	0.07397	0.07439	0.08119	0.04315	0.07129	0.0566	0.1131	0.06206	0.06954	0.04763	0.03928
TET2	0.03297	0.02374	0.01805	0.1812	0.06422	0.01675	0.03439	0.06594	0.04818	0.04256	0.07079	0.1134	0.1365	0.05792	0.02986	0.04438	0.05764	0.04304	0.1491	0.05665	0.03023	0.03086	0.06939	0.03688	0.03642	0.03334	0.02744	0.0585	0.06556	0.04142	0.07381	0.0282	0.1005	0.02168	0.06205	0.1482	0.05138	0.0238	0.05035	0.0517	0.06784	0.07821	0.11	0.06041	0.1065	0.06911	0.05441	0.04987	0.04747	0.07519	0.01788	0.06317	0.0499	0.05302	0.03205	0.02416	0.09939	0.1043	0.03982	0.02672	0.03588	0.06752	0.02658	0.03859	0.03378	0.0593	0.0756	0.05098	0.04508	0.0507	0.2242	1	0.07403	0.08441	0.03015	0.07441	0.04543	0.05175	0.07887	0.04662	0.06382	0.04317	0.05994	0.0628	0.08985	0.05862	0.05843	0.03535	0.04289
TFE3	0.05204	0.06081	0.0587	0.1287	0.07446	0.05881	0.04214	0.04442	0.0644	0.04957	0.08376	0.08077	0.2342	0.1115	0.0641	0.08195	0.1231	0.0543	0.1613	0.04298	0.05418	0.07239	0.06423	0.05155	0.06132	0.04813	0.05316	0.03455	0.05144	0.05706	0.1519	0.05731	0.1545	0.03863	0.06152	0.3013	0.05517	0.08351	0.03297	0.05655	0.04394	0.1843	0.08963	0.07759	0.07583	0.09578	0.05231	0.04644	0.05531	0.08591	0.02707	0.09679	0.05036	0.04939	0.05628	0.07086	0.0802	0.09088	0.07108	0.0542	0.05605	0.04083	0.06194	0.06171	0.09708	0.06967	0.07557	0.02995	0.04639	0.1165	0.05994	0.04672	1	0.1182	0.04198	0.1231	0.1913	0.06779	0.09425	0.068	0.07701	0.05079	0.1208	0.05883	0.09228	0.1211	0.07374	0.07378	0.08243
TGIF1	0.1353	0.09609	0.07931	0.09166	0.09571	0.1181	0.06234	0.07167	0.09162	0.1025	0.107	0.1201	0.1332	0.09619	0.1017	0.1252	0.1022	0.1492	0.2567	0.1361	0.1034	0.08419	0.1042	0.08432	0.08062	0.1306	0.09905	0.05858	0.07546	0.05152	0.08578	0.07704	0.1058	0.08671	0.09524	0.108	0.0895	0.1252	0.07305	0.1085	0.09143	0.1426	0.2085	0.08786	0.1375	0.09501	0.08826	0.08578	0.08348	0.1962	0.07074	0.2016	0.09516	0.09486	0.08869	0.07883	0.09381	0.07679	0.08116	0.1286	0.07126	0.07615	0.09405	0.1091	0.07871	0.107	0.1134	0.1045	0.09236	0.1348	0.1217	0.08441	0.09084	1	0.1074	0.1478	0.1018	0.07931	0.09515	0.07079	0.07762	0.09849	0.1218	0.06808	0.09717	0.1251	0.0912	0.09359	0.1024
TRIM28	0.05279	0.1003	0.0518	0.1226	0.06571	0.06186	0.06013	0.04605	0.04765	0.04576	0.09245	0.06805	0.1448	0.1022	0.03768	0.06466	0.08991	0.09993	0.1531	0.072	0.0305	0.0436	0.07425	0.04094	0.03219	0.0561	0.04653	0.03707	0.05336	0.05164	0.0986	0.04005	0.05941	0.05811	0.05673	0.1302	0.05085	0.03638	0.04366	0.03818	0.04644	0.05836	0.07322	0.08718	0.1249	0.09044	0.07833	0.09336	0.06647	0.0601	0.04448	0.09839	0.04746	0.08115	0.03648	0.05084	0.1362	0.112	0.03445	0.05351	0.04064	0.04971	0.04078	0.0365	0.04713	0.06795	0.06627	0.06022	0.03754	0.04853	0.0587	0.03215	0.05634	0.06882	1	0.05591	0.2218	0.03734	0.0853	0.0669	0.07397	0.04797	0.05523	0.03876	0.07044	0.06738	0.07442	0.05656	0.05025
UTF1	0.1011	0.06893	0.08	0.1002	0.08859	0.09466	0.0447	0.07516	0.07137	0.08447	0.07259	0.09541	0.1317	0.08914	0.07864	0.09312	0.07393	0.08695	0.2754	0.09425	0.07376	0.08086	0.09046	0.07546	0.07004	0.1359	0.09931	0.06666	0.08814	0.04911	0.07377	0.08045	0.1716	0.084	0.07731	0.1353	0.04316	0.08153	0.09367	0.08926	0.1051	0.09662	0.1623	0.06766	0.1358	0.07868	0.0816	0.06932	0.08606	0.1585	0.0833	0.09748	0.06221	0.05273	0.08009	0.07503	0.07045	0.0743	0.09487	0.09077	0.0802	0.07379	0.07865	0.09296	0.1106	0.07108	0.09759	0.09373	0.07067	0.08282	0.09341	0.07528	0.09579	0.1744	0.1012	1	0.1776	0.08371	0.1012	0.06276	0.08544	0.0921	0.0618	0.07077	0.07835	0.07764	0.09134	0.09569	0.07875
YEATS4	0.05003	0.2286	0.08903	0.08392	0.1209	0.08058	0.03927	0.08371	0.1343	0.0755	0.03845	0.04886	0.2104	0.05813	0.1636	0.09382	0.06952	0.09339	0.09858	0.0379	0.07342	0.1827	0.04831	0.1048	0.0854	0.07563	0.1528	0.07065	0.07007	0.06753	0.1374	0.03768	0.1831	0.04641	0.08283	0.3079	0.07657	0.2162	0.06002	0.09442	0.0478	0.1467	0.0409	0.08552	0.04282	0.1287	0.08127	0.03432	0.0605	0.0358	0.07857	0.07377	0.05252	0.04596	0.06857	0.05809	0.1086	0.07196	0.1534	0.08802	0.1344	0.1299	0.193	0.1058	0.1532	0.0479	0.04439	0.09374	0.06425	0.1259	0.09493	0.04948	0.1913	0.09065	0.2218	0.1622	1	0.1009	0.1205	0.08005	0.06117	0.07654	0.07657	0.1067	0.04307	0.1084	0.04705	0.2025	0.128
ZFP281	0.03664	0.03649	0.04496	0.1645	0.08651	0.04323	0.04282	0.07771	0.04944	0.0384	0.07887	0.09867	0.1185	0.0546	0.04232	0.0498	0.07714	0.0427	0.107	0.069	0.04187	0.0453	0.08516	0.1133	0.1097	0.05045	0.04425	0.05393	0.04765	0.04181	0.08017	0.04878	0.09631	0.03756	0.09944	0.1146	0.04401	0.04202	0.05127	0.05599	0.04938	0.06376	0.08194	0.05943	0.115	0.0635	0.05851	0.05145	0.04797	0.1247	0.02618	0.09454	0.1823	0.07362	0.0936	0.04162	0.0784	0.07352	0.08995	0.03248	0.04655	0.05494	0.04214	0.04502	0.05336	0.08306	0.09106	0.03235	0.04509	0.06925	0.0474	0.04071	0.0591	0.09521	0.03318	0.08445	0.1044	1	0.3181	0.1332	0.2139	0.06071	0.06807	0.05188	0.2346	0.06358	0.06354	0.04017	0.09551
ZFP42	0.06244	0.0901	0.08501	0.1505	0.0788	0.105	0.0626	0.3684	0.1131	0.07025	0.07578	0.08749	0.1578	0.0666	0.112	0.06441	0.07997	0.08623	0.1181	0.09304	0.05932	0.1168	0.09556	0.2774	0.28	0.07778	0.07024	0.07049	0.05899	0.06424	0.1344	0.06086	0.09295	0.08775	0.2707	0.1066	0.04656	0.09833	0.08337	0.09623	0.08181	0.08786	0.105	0.07097	0.1694	0.08014	0.06376	0.1115	0.09199	0.08911	0.06006	0.09965	0.3418	0.0828	0.3178	0.07799	0.07724	0.09693	0.239	0.08055	0.0726	0.06932	0.07587	0.09391	0.1121	0.09187	0.0598	0.09211	0.08535	0.09558	0.1155	0.08281	0.1028	0.1075	0.07175	0.1288	0.1205	0.318	1	0.1955	0.2808	0.06964	0.07566	0.08587	0.2767	0.07936	0.1238	0.08898	0.2454
ZFP57	0.05175	0.06199	0.05474	0.137	0.05724	0.05893	0.05628	0.1745	0.07006	0.04097	0.08598	0.08884	0.1383	0.05148	0.05427	0.07492	0.06715	0.07403	0.09019	0.06411	0.05809	0.04667	0.0628	0.08816	0.08744	0.08229	0.06707	0.05964	0.06165	0.05529	0.05825	0.06856	0.08495	0.07265	0.1297	0.1531	0.06014	0.05891	0.0533	0.06269	0.05178	0.06094	0.1172	0.07477	0.1081	0.05281	0.06198	0.07354	0.08392	0.08207	0.04841	0.05691	0.1319	0.04924	0.1422	0.0513	0.06464	0.07742	0.1093	0.0702	0.04915	0.0389	0.05294	0.05685	0.04963	0.07149	0.08863	0.08504	0.05782	0.05865	0.05637	0.06051	0.06142	0.09473	0.06462	0.07707	0.07481	0.1328	0.1955	1	0.1585	0.04867	0.04824	0.05819	0.1562	0.05382	0.04913	0.06571	0.1486
ZIC3	0.04686	0.06852	0.06625	0.1083	0.06461	0.07152	0.05279	0.2153	0.06981	0.06791	0.0907	0.07389	0.1313	0.07268	0.0723	0.09068	0.08725	0.07886	0.08501	0.07898	0.07425	0.05262	0.07794	0.2957	0.284	0.08309	0.08451	0.05235	0.03963	0.04009	0.09821	0.05413	0.07106	0.04473	0.1768	0.1673	0.07812	0.04988	0.04849	0.07487	0.06349	0.05609	0.111	0.06625	0.1372	0.04788	0.05828	0.08916	0.08141	0.08592	0.07662	0.09074	0.2235	0.07698	0.1483	0.05664	0.07064	0.07374	0.1146	0.06843	0.03886	0.04129	0.07491	0.08822	0.05938	0.07251	0.0713	0.0805	0.06609	0.0734	0.05513	0.06256	0.06738	0.09034	0.06152	0.08313	0.08634	0.2085	0.2807	0.1548	1	0.06353	0.05813	0.04421	0.238	0.06635	0.07608	0.06361	0.1666
CNOT3	0.04272	0.03735	0.04421	0.1034	0.07405	0.0396	0.04311	0.03341	0.05849	0.0533	0.1006	0.0894	0.2221	0.07483	0.05014	0.05617	0.06796	0.05154	0.1249	0.07428	0.04139	0.02967	0.07002	0.04956	0.05635	0.04484	0.04586	0.04554	0.04538	0.04407	0.0721	0.0472	0.0843	0.04329	0.066	0.1357	0.05237	0.04156	0.02914	0.04599	0.05877	0.05545	0.0822	0.05867	0.08556	0.07845	0.05313	0.05297	0.03791	0.09773	0.02873	0.09109	0.05416	0.0595	0.05258	0.04292	0.07445	0.1355	0.05489	0.04183	0.04521	0.04672	0.05263	0.02964	0.06183	0.07284	0.06026	0.0595	0.04793	0.04818	0.04491	0.03839	0.05094	0.08062	0.06859	0.115	0.1585	0.04211	0.0754	0.05572	0.05808	1	0.06529	0.05703	0.09675	0.06267	0.05975	0.05131	0.04403
E2F4	0.0549	0.07021	0.05274	0.1243	0.07753	0.1012	0.06172	0.07095	0.07845	0.06385	0.07654	0.06714	0.1601	0.2888	0.0659	0.1142	0.08124	0.07498	0.2225	0.06982	0.06263	0.1078	0.05781	0.0722	0.0692	0.1346	0.06536	0.05261	0.0608	0.0537	0.07409	0.05878	0.0767	0.07306	0.0706	0.3087	0.04613	0.05593	0.06373	0.0578	0.1169	0.08727	0.07428	0.05777	0.1427	0.1264	0.06994	0.05988	0.07009	0.1202	0.03545	0.06705	0.05171	0.05588	0.0609	0.0664	0.1009	0.09766	0.08032	0.1145	0.05012	0.0558	0.06565	0.06459	0.1009	0.0652	0.09623	0.04817	0.07853	0.07036	0.05594	0.06254	0.1208	0.1105	0.09846	0.06646	0.1913	0.06036	0.05527	0.04013	0.06568	0.06845	1	0.04157	0.07583	0.06668	0.05759	0.1228	0.05884
EED	0.05109	0.04387	0.03672	0.1208	0.0551	0.04681	0.04498	0.05085	0.05948	0.05223	0.0855	0.07171	0.05106	0.05423	0.04796	0.0596	0.05467	0.0463	0.1178	0.06844	0.05802	0.04717	0.05991	0.05322	0.05337	0.05057	0.2832	0.05046	0.04797	0.04885	0.06713	0.04674	0.05982	0.05703	0.04676	0.1331	0.07145	0.05605	0.04678	0.05341	0.05995	0.05594	0.09057	0.1036	0.09042	0.06601	0.04534	0.04912	0.04834	0.07946	0.05159	0.05785	0.0786	0.05434	0.05134	0.05676	0.05367	0.08112	0.05785	0.06047	0.05342	0.04178	0.0578	0.0564	0.05037	0.06694	0.06702	0.03725	0.06019	0.05863	0.0566	0.06202	0.05883	0.06808	0.03855	0.07077	0.1123	0.05608	0.08632	0.03343	0.0703	0.05703	0.05494	1	0.06782	0.05588	0.04123	0.05418	0.0475
KLF2	0.06953	0.08021	0.07313	0.1015	0.07572	0.0587	0.06299	0.2079	0.08971	0.08359	0.08573	0.07648	0.07619	0.04522	0.08519	0.06915	0.06108	0.07928	0.1058	0.08399	0.09725	0.04858	0.1113	0.2229	0.2108	0.04967	0.08272	0.05327	0.0633	0.05017	0.06112	0.07591	0.1003	0.07784	0.2656	0.09453	0.03535	0.07736	0.05747	0.07626	0.07729	0.07462	0.06998	0.0684	0.0754	0.06804	0.06386	0.1105	0.06274	0.0794	0.05002	0.05786	0.2105	0.08902	0.1999	0.06939	0.06612	0.09932	0.1622	0.06454	0.05124	0.0784	0.06981	0.07193	0.0831	0.07371	0.06329	0.07313	0.1139	0.06774	0.06416	0.0663	0.06853	0.09162	0.06493	0.06704	0.08243	0.205	0.2427	0.1562	0.238	0.06777	0.08776	0.06951	1	0.1015	0.07138	0.06975	0.1297
MYCN	0.05066	0.06566	0.05078	0.1439	0.0581	0.08276	0.05141	0.05436	0.06769	0.05718	0.0976	0.08332	0.2099	0.07321	0.08105	0.08613	0.06226	0.05782	0.1721	0.06696	0.05077	0.05503	0.05699	0.06296	0.06789	0.05543	0.05721	0.06231	0.05591	0.04599	0.1232	0.06118	0.1515	0.03838	0.08849	0.1034	0.04475	0.07784	0.05036	0.05684	0.05746	0.3186	0.09915	0.06097	0.08774	0.05644	0.06084	0.07993	0.05908	0.09494	0.0448	0.06421	0.06884	0.04936	0.06612	0.06193	0.05739	0.1033	0.06623	0.06616	0.04692	0.04329	0.06882	0.0541	0.05427	0.0665	0.09076	0.06006	0.05564	0.1447	0.06366	0.05757	0.1472	0.125	0.05621	0.1056	0.1572	0.06358	0.08012	0.05131	0.08441	0.06508	0.05099	0.04623	0.09014	1	0.06428	0.07255	0.0606
NACC1	0.05062	0.0701	0.07442	0.09411	0.07307	0.08505	0.06949	0.05398	0.05367	0.06339	0.125	0.1005	0.1559	0.06933	0.06268	0.06395	0.08822	0.0645	0.1615	0.06261	0.05209	0.06716	0.07709	0.0532	0.06449	0.07265	0.07204	0.06459	0.07875	0.05966	0.08264	0.07358	0.09184	0.06419	0.06572	0.1691	0.07276	0.05698	0.07179	0.07764	0.06289	0.0627	0.1074	0.07014	0.1556	0.05344	0.08329	0.08583	0.05999	0.117	0.05172	0.143	0.06083	0.1116	0.06835	0.08389	0.1052	0.1365	0.06883	0.07505	0.04511	0.05369	0.05511	0.06181	0.06543	0.06536	0.08558	0.07639	0.0706	0.05182	0.07577	0.05898	0.06564	0.106	0.07199	0.09984	0.06946	0.102	0.1175	0.07589	0.07242	0.07591	0.05742	0.04975	0.08329	0.06344	1	0.06232	0.0987
PHC1	0.04133	0.03273	0.0379	0.08673	0.06388	0.0463	0.05649	0.03836	0.0566	0.0474	0.06862	0.08034	0.2581	0.08525	0.05482	0.07109	0.1006	0.03616	0.119	0.05974	0.03244	0.04387	0.09991	0.03903	0.0454	0.0268	0.03525	0.05137	0.0462	0.04198	0.08424	0.04256	0.1022	0.03687	0.06416	0.1859	0.05711	0.04287	0.04504	0.05463	0.04418	0.06713	0.08892	0.08072	0.1125	0.08783	0.06564	0.04753	0.04742	0.07346	0.02102	0.06917	0.0453	0.05749	0.04854	0.05881	0.07394	0.1006	0.04287	0.05269	0.05549	0.07063	0.03381	0.04415	0.05761	0.09661	0.08623	0.04644	0.04475	0.06715	0.04288	0.04587	0.06097	0.09832	0.02726	0.1026	0.1483	0.03401	0.08308	0.05949	0.06941	0.05272	0.06019	0.04444	0.07012	0.1015	0.06319	1	0.04099
SALL1	0.04006	0.03512	0.03138	0.1122	0.0738	0.04091	0.04429	0.09954	0.06931	0.03528	0.07561	0.1009	0.1755	0.07538	0.02865	0.04945	0.06291	0.05919	0.127	0.05776	0.03629	0.05007	0.07918	0.04929	0.05839	0.03785	0.03076	0.05404	0.05228	0.03482	0.09011	0.03591	0.07915	0.03157	0.07909	0.2004	0.04438	0.02981	0.04781	0.04193	0.05333	0.09173	0.1183	0.07517	0.1521	0.05467	0.06275	0.05272	0.05158	0.104	0.0421	0.1157	0.124	0.05777	0.05407	0.03028	0.07096	0.1635	0.1339	0.04668	0.03777	0.05063	0.02679	0.03593	0.04308	0.06426	0.1043	0.04186	0.043	0.05548	0.03819	0.0412	0.05969	0.1117	0.0447	0.08696	0.1096	0.09498	0.2198	0.1485	0.1483	0.04098	0.05656	0.05636	0.183	0.06824	0.0682	0.05366	1
